word1,word2,oughta be related?,notes
cat,sever,unrelated,
cat,shabby,whatever,
cat,shape,whatever,
cat,she's,unrelated,bulk random lemma base + common preferred + rime (seed 42)
cat,sheer,unrelated,bulk random lemma base + common preferred + rime (seed 42)
cat,shellack,whatever,
cat,shit,related,bulk random lemma base + common preferred + rime (seed 42)
cat,shite,unrelated_ish,bulk random lemma base + common preferred + rime (seed 42)
cat,shorn,related,
cat,show,related,cat review
cat,shuffle,unrelated,
cat,silk,unrelated,cat review
cat,simmer,unrelated,bulk random lemma base + common preferred + rime (seed 42)
cat,simp,whatever,
cat,single,whatever,
cat,sire,whatever,bulk random lemma base + common preferred + rime (seed 42)
cat,skimmer,unrelated,bulk random lemma base + common preferred + rime (seed 42)
cat,skin,related,there's more than one way
cat,skipper,unrelated,bulk random lemma base + common preferred + rime (seed 42)
cat,slab,unrelated,
cat,sleep,related,bulk random lemma base + common preferred + rime (seed 42)
cat,sleuth,unrelated,
cat,slew,unrelated,bulk random lemma base + common preferred + rime (seed 42)
cat,slurp,whatever,
cat,smoky,whatever,
cat,snake,whatever,
cat,sneeze,related,
cat,snort,related,
cat,sod,unrelated,
cat,soft,related,cat review
cat,soothing,related,cat review
cat,sooty,unrelated,
cat,soup,unrelated,
cat,soya,unrelated,bulk random lemma base + common preferred + rime (seed 42)
cat,spaghetti,unrelated,cat review
cat,spark,unrelated,bulk random lemma base + common preferred + rime (seed 42)
cat,spatial,unrelated,bulk random lemma base + common preferred + rime (seed 42)
cat,spay,related,cat review
cat,spiny,unrelated,cat review
cat,sporty,unrelated,bulk random lemma base + common preferred + rime (seed 42)
cat,spot,whatever,
cat,sprocket,unrelated,cat review
cat,squalid,unrelated,
cat,squirrel,related,
cat,stale,unrelated,cat review
cat,staler,unrelated,cat review
cat,stalk,related,cat review
cat,stall,unrelated,
cat,stare,related,
cat,steak,whatever,bulk random lemma base + common preferred + rime (seed 42)
cat,stealthy,related,
cat,stegosaurus,unrelated,cat review
cat,stiffen,unrelated,bulk random lemma base + common preferred + rime (seed 42)
cat,stilt,unrelated,
cat,stomper,unrelated,
cat,stove,unrelated,
cat,stray,related,
cat,streaky,unrelated,
cat,stretch,related,cat review
cat,stretchy,unrelated,bulk random lemma base + common preferred + rime (seed 42)
cat,stricken,unrelated,cat review
cat,striper,unrelated,bulk random lemma base + common preferred + rime (seed 42)
cat,stroll,whatever,
cat,stuffers,unrelated,cat review
cat,stupor,unrelated,
cat,suckle,unrelated,bulk random lemma base + common preferred + rime (seed 42)
cat,suede,whatever,
cat,superb,unrelated,bulk random lemma base + common preferred + rime (seed 42)
cat,supplement,whatever,
cat,surgical,unrelated,bulk random lemma base + common preferred + rime (seed 42)
cat,swallow,related,
cat,swill,unrelated,
cat,tabby,related,cat review
cat,table,whatever,
cat,tail,related,cat review
cat,tarpaulin,unrelated,bulk random lemma base + common preferred + rime (seed 42)
cat,tat,unrelated,
cat,technician,unrelated,
cat,teeth,related,cat review
cat,telescope,unrelated,
cat,tempura,unrelated,bulk random lemma base + common preferred + rime (seed 42)
cat,terrier,unrelated,
cat,terse,unrelated,bulk random lemma base + common preferred + rime (seed 42)
cat,text,unrelated,cat review
cat,thief,whatever,bulk random lemma base + common preferred + rime (seed 42)
cat,thimble,unrelated,cat review
cat,thing,unrelated,
cat,things,unrelated,
cat,third,unrelated,bulk random lemma base + common preferred + rime (seed 42)
cat,thrush,related,
cat,tiger,related,cat review
cat,tights,unrelated,bulk random lemma base + common preferred + rime (seed 42)
cat,tigon,related,cat review
cat,tile,unrelated_ish,
cat,tinea,related,cat review
cat,tinker,unrelated,bulk random lemma base + common preferred + rime (seed 42)
cat,toaster,unrelated,
cat,tomato,unrelated,bulk random lemma base + common preferred + rime (seed 42)
cat,tool,unrelated,
cat,toon,unrelated,
cat,tooth,related,cat review
cat,topic,unrelated,bulk random lemma base + common preferred + rime (seed 42)
cat,tot,unrelated,
cat,toxoplasmosis,related,cat review
cat,trace,unrelated,
cat,train,related,cat review
cat,trance,unrelated,
cat,trawler,unrelated,
cat,treasure,unrelated,bulk random lemma base + common preferred + rime (seed 42)
cat,tree,related,cat review
cat,triangle,unrelated,cat review
cat,triangular,unrelated,cat review
cat,tripe,whatever,
cat,trunk,unrelated,
cat,tumor,whatever,
cat,tuna,related,cat review
cat,tux,related,
cat,tuxedo,related,
cat,twink,unrelated,
cat,twister,unrelated,bulk random lemma base + common preferred + rime (seed 42)
cat,twitch,whatever,bulk random lemma base + common preferred + rime (seed 42)
cat,ultrasonic,whatever,
cat,unattractive,unrelated,bulk random lemma base + common preferred + rime (seed 42)
cat,unconfirmed,unrelated,bulk random lemma base + common preferred + rime (seed 42)
cat,underneath,whatever,
cat,undertow,unrelated,
cat,unforeseeable,unrelated,bulk random lemma base + common preferred + rime (seed 42)
cat,unfrozen,unrelated,bulk random lemma base + common preferred + rime (seed 42)
cat,ungodly,unrelated,bulk random lemma base + common preferred + rime (seed 42)
cat,upturned,unrelated,bulk random lemma base + common preferred + rime (seed 42)
cat,urination,related,
cat,vaccination,related,cat review
cat,vagina,related,cat review
cat,vase,unrelated,
cat,vector,unrelated,cat review
cat,venom,unrelated,cat review
cat,verb,unrelated,
cat,verbal,whatever,
cat,vet,related,bulk random lemma base + common preferred + rime (seed 42)
cat,vet,related,cat review
cat,veteran,unrelated,cat review
cat,veterinarian,related,cat review
cat,vibrato,unrelated,bulk random lemma base + common preferred + rime (seed 42)
cat,vietnamese,whatever,
cat,viola,unrelated,bulk random lemma base + common preferred + rime (seed 42)
cat,void,unrelated,
cat,volcano,unrelated,
cat,voyeur,unrelated,bulk random lemma base + common preferred + rime (seed 42)
cat,vulnerability,unrelated,bulk random lemma base + common preferred + rime (seed 42)
cat,wagon,unrelated,
cat,wand,unrelated,
cat,wander,whatever,bulk random lemma base + common preferred + rime (seed 42)
cat,wanker,unrelated,bulk random lemma base + common preferred + rime (seed 42)
cat,wash,related,cat review
cat,weak,unrelated,bulk random lemma base + common preferred + rime (seed 42)
cat,wear,unrelated,
cat,wedgie,unrelated,bulk random lemma base + common preferred + rime (seed 42)
cat,weep,unrelated,bulk random lemma base + common preferred + rime (seed 42)
cat,wet,related,
cat,wheel,unrelated,bulk random lemma base + common preferred + rime (seed 42)
cat,whereof,unrelated,bulk random lemma base + common preferred + rime (seed 42)
cat,whey,unrelated,bulk random lemma base + common preferred + rime (seed 42)
cat,whip,unrelated,
cat,whisk,unrelated,cat review
cat,whisker,related,cat review
cat,whiskers,related,
cat,white,related,bulk random lemma base + common preferred + rime (seed 42)
cat,whiz,unrelated,bulk random lemma base + common preferred + rime (seed 42)
cat,widdle,related,
cat,wild,related,cat review
cat,wildcat,related,
cat,win,unrelated,
cat,witch,related,cat review
cat,woe,unrelated,
cat,wood,unrelated,
cat,worms,related,cat review
cat,wren,related,
cat,wring,unrelated,bulk random lemma base + common preferred + rime (seed 42)
cat,yarn,related,cat review
cat,yawn,related,
cat,yeti,unrelated,cat review
cat,yodel,unrelated,cat review
cat,yowl,unrelated,cat review
cat,zen,whatever,
cat,zucchini,unrelated,
cat,term,unrelated,active-learn cat:strong:90
cat,sheep,whatever,active-learn cat:strong:96
cat,clean,related,active-learn cat:strong:91
cat,spook,related,active-learn cat:strong:81
cat,duckling,related,active-learn cat:strong:75
cat,chain,unrelated,active-learn cat:strong:84
cat,loyal,unrelated,active-learn cat:strong:81
cat,floor,unrelated,active-learn cat:strong:93
cat,mascot,related,active-learn cat:strong:92
cat,rooster,related,active-learn cat:strong:96
cat,freak,whatever,active-learn cat:strong:75
cat,hog,unrelated,active-learn cat:strong:84
cat,kangaroo,unrelated,active-learn cat:strong:92
cat,dental,related,active-learn cat:strong:85
cat,turkey,related,active-learn cat:strong:90
cat,magic,related,active-learn cat:strong:79
cat,hissing,related,active-learn cat:strong:90
cat,rank,unrelated,active-learn cat:strong:84
cat,owner,related,active-learn cat:strong:92
cat,killer,related,active-learn cat:strong:82
cat,leash,related,active-learn cat:strong:93
cat,lay,related,active-learn cat:strong:79
cat,man,whatever,active-learn cat:strong:90
cat,hat,related,active-learn cat:strong:94
cat,rex,unrelated,active-learn cat:strong:81
cat,paint,related,active-learn cat:strong:85
cat,chimp,whatever,active-learn cat:strong:89
cat,nest,unrelated,active-learn cat:strong:93
cat,top,unrelated,active-learn cat:strong:94
cat,tortoise,unrelated,active-learn cat:strong:95
cat,forest,whatever,active-learn cat:strong:91
cat,face,related,active-learn cat:strong:79
cat,couch,related,active-learn cat:strong:97
cat,sit,related,active-learn cat:strong:90
cat,nasal,unrelated,active-learn cat:strong:75
cat,terrarium,unrelated,active-learn cat:strong:78
cat,gentle,related,active-learn cat:strong:97
cat,large,related,active-learn cat:strong:89
cat,shaggy,related,active-learn cat:strong:84
cat,jack,unrelated,active-learn cat:strong:86
cat,computer,whatever,active-learn cat:strong:88
cat,tramp,unrelated,active-learn cat:strong:93
cat,foot,related,active-learn cat:strong:88
cat,tubby,related,active-learn cat:strong:83
cat,destroy,whatever,active-learn cat:strong:81
cat,lint,unrelated,active-learn cat:strong:92
cat,scat,related,active-learn cat:strong:76
cat,tick,related,active-learn cat:strong:95
cat,care,related,active-learn cat:strong:91
cat,wombat,unrelated,active-learn cat:strong:83
cat,turtle,unrelated,active-learn cat:strong:97
cat,cuddle,related,active-learn cat:strong:98
cat,stripe,related,active-learn cat:strong:97
cat,pillow,related,active-learn cat:strong:90
cat,mummy,related,active-learn cat:strong:87
cat,companion,related,active-learn cat:strong:95
cat,fowl,related,active-learn cat:strong:78
cat,teddy,unrelated,active-learn cat:strong:80
cat,scooby,unrelated,active-learn cat:strong:86
cat,castration,related,active-learn cat:strong:86
cat,lab,unrelated,active-learn cat:strong:91
cat,liver,related,active-learn cat:strong:92
cat,park,whatever,active-learn cat:strong:93
cat,line,unrelated,active-learn cat:strong:92
cat,mammal,related,active-learn cat:strong:100
cat,snout,unrelated,active-learn cat:strong:93
cat,sammy,unrelated,active-learn cat:strong:77
cat,camel,unrelated,active-learn cat:strong:94
cat,female,related,active-learn cat:strong:89
cat,puppy,related,active-learn cat:strong:91
cat,gecko,unrelated,active-learn cat:strong:82
cat,ferret,whatever,active-learn cat:strong:95
cat,furry,related,active-learn cat:strong:99
cat,fuzz,related,active-learn cat:strong:99
cat,wool,whatever,active-learn cat:strong:99
cat,enclosure,related,active-learn cat:strong:82
cat,play,related,active-learn cat:strong:96
cat,hose,unrelated,active-learn cat:strong:96
cat,draw,unrelated,active-learn cat:strong:82
cat,parrot,unrelated,active-learn cat:strong:97
cat,puppet,whatever,active-learn cat:strong:85
cat,lizard,whatever,active-learn cat:strong:94
cat,kibble,related,active-learn cat:strong:87
cat,tucker,unrelated,active-learn cat:strong:85
cat,reader,whatever,active-learn cat:strong:81
cat,cunning,related,active-learn cat:strong:94
cat,level,unrelated,active-learn cat:strong:82
cat,iguana,unrelated,active-learn cat:strong:87
cat,cairn,unrelated,active-learn cat:strong:82
cat,deer,unrelated,active-learn cat:strong:85
cat,squeaky,related,active-learn cat:strong:84
cat,cutie,related,active-learn cat:strong:83
cat,crate,unrelated,active-learn cat:strong:96
cat,pest,related,active-learn cat:strong:82
cat,scrap,whatever,active-learn cat:strong:91
cat,scamp,related,active-learn cat:strong:87
cat,protest,related,active-learn cat:strong:79
cat,shelf,related,active-learn cat:strong:92
cat,hen,related,active-learn cat:strong:92
cat,hutch,unrelated,active-learn cat:strong:81
cat,trash,whatever,active-learn cat:strong:77
cat,euthanasia,related,active-learn cat:strong:85
cat,avian,related,active-learn cat:strong:81
cat,llamas,whatever,active-learn cat:strong:85
cat,doll,whatever,active-learn cat:strong:96
cat,cable,related,active-learn cat:strong:82
cat,dragon,unrelated,active-learn cat:strong:95
cat,cut,unrelated,active-learn cat:strong:94
cat,male,related,active-learn cat:strong:88
cat,base,unrelated,active-learn cat:strong:77
cat,tin,related,active-learn cat:strong:94
cat,turd,related,active-learn cat:strong:87
cat,snow,related,active-learn cat:strong:91
cat,zoological,related,active-learn cat:strong:75
cat,cozy,related,active-learn cat:strong:84
cat,farmer,related,active-learn cat:strong:75
cat,cookie,related,active-learn cat:strong:98
cat,ceramic,related,active-learn cat:strong:81
cat,sock,related,active-learn cat:strong:75
cat,ermine,whatever,active-learn cat:strong:83
cat,seal,whatever,active-learn cat:strong:88
cat,opossum,whatever,active-learn cat:strong:75
cat,giraffe,unrelated,active-learn cat:strong:92
cat,constrictor,unrelated,active-learn cat:strong:97
cat,spaniel,unrelated,active-learn cat:strong:81
cat,quiet,related,active-learn cat:strong:85
cat,pooch,related,active-learn cat:strong:85
cat,sewer,unrelated,active-learn cat:strong:80
cat,fluff,related,active-learn cat:strong:90
cat,burrow,unrelated,active-learn cat:strong:93
cat,vivisection,whatever,active-learn cat:strong:79
cat,duct,unrelated,active-learn cat:strong:80
cat,plain,unrelated,active-learn cat:strong:76
cat,sniffer,related,active-learn cat:strong:93
cat,prowler,related,active-learn cat:strong:85
cat,meat,related,active-learn cat:strong:93
cat,lassie,unrelated,active-learn cat:strong:86
cat,wag,unrelated,active-learn cat:strong:85
cat,seagull,related,active-learn cat:strong:95
cat,race,unrelated,active-learn cat:strong:87
cat,plush,related,active-learn cat:strong:97
cat,scruffy,related,active-learn cat:strong:92
cat,woof,unrelated,active-learn cat:strong:89
cat,nose,related,active-learn cat:strong:99
cat,nestle,related,active-learn cat:strong:86
cat,skunk,whatever,active-learn cat:strong:94
cat,scared,related,active-learn cat:strong:94
cat,reptilian,unrelated,active-learn cat:strong:88
cat,type,whatever,active-learn cat:strong:76
cat,stable,whatever,active-learn cat:strong:92
cat,coyote,unrelated,active-learn cat:strong:93
cat,form,whatever,active-learn cat:strong:76
cat,pooh,unrelated,active-learn cat:strong:93
cat,fight,related,active-learn cat:strong:88
cat,dotty,whatever,active-learn cat:strong:82
cat,shelter,related,active-learn cat:strong:96
cat,foxy,unrelated,active-learn cat:strong:92
cat,kennel,related,active-learn cat:strong:94
cat,stump,unrelated,active-learn cat:strong:80
cat,ground,unrelated,active-learn cat:strong:82
cat,fat,related,active-learn cat:strong:94
cat,bedroom,related,active-learn cat:strong:92
cat,shark,whatever,active-learn cat:strong:91
cat,little,related,active-learn cat:strong:79
cat,creature,related,active-learn cat:strong:99
cat,mop,unrelated,active-learn cat:strong:84
cat,kid,related,active-learn cat:strong:89
cat,hobo,unrelated,active-learn cat:strong:79
cat,chinchilla,unrelated,active-learn cat:strong:82
cat,shepherd,whatever,active-learn cat:strong:96
cat,mark,related,active-learn cat:strong:75
cat,pee,related,
cat,piss,related,
cat,urine,related,
cat,middle,unrelated,active-learn cat:strong:86
cat,curb,unrelated,active-learn cat:strong:77
cat,chicken,related,active-learn cat:strong:99
cat,fecal,related,active-learn cat:strong:80
cat,giant,related,active-learn cat:strong:76
cat,scamper,related,active-learn cat:strong:84
cat,ducky,whatever,active-learn cat:strong:84
cat,go,whatever,active-learn cat:strong:86
cat,vagrant,whatever,active-learn cat:strong:81
cat,sweetie,related,active-learn cat:strong:77
cat,super,whatever,active-learn cat:strong:80
cat,needy,related,active-learn cat:strong:94
cat,chirp,related,active-learn cat:strong:80
cat,rattle,unrelated_ish,active-learn cat:strong:75
cat,hammock,whatever,active-learn cat:strong:84
cat,eared,related,active-learn cat:strong:90
cat,quick,related,active-learn cat:strong:93
cat,dingo,unrelated,active-learn cat:strong:90
cat,predator,related,active-learn cat:strong:97
cat,fear,related,active-learn cat:strong:83
cat,dead,related,active-learn cat:strong:75
cat,gizmo,unrelated,active-learn cat:strong:84
cat,gorilla,unrelated,active-learn cat:strong:95
cat,sphinx,related,active-learn cat:strong:98
cat,fox,whatever,active-learn cat:strong:94
cat,coat,whatever,active-learn cat:strong:92
cat,sun,related,active-learn cat:strong:89
cat,rabid,related,active-learn cat:strong:90
cat,legged,related,active-learn cat:strong:95
cat,informal,unrelated,active-learn cat:strong:75
cat,potato,unrelated,active-learn cat:strong:83
cat,cart,whatever,active-learn cat:strong:78
cat,person,related,active-learn cat:strong:87
cat,cocker,unrelated,active-learn cat:strong:86
cat,snoopy,unrelated,active-learn cat:strong:92
cat,cold,related,active-learn cat:strong:77
cat,toad,whatever,active-learn cat:strong:75
cat,pat,related,active-learn cat:strong:96
cat,domesticity,related,active-learn cat:strong:93
cat,lily,whatever,active-learn cat:strong:81
cat,loft,whatever,active-learn cat:strong:76
cat,koala,unrelated,active-learn cat:strong:93
cat,game,whatever,active-learn cat:strong:97
cat,sound,whatever,active-learn cat:strong:91
cat,color,related,active-learn cat:strong:94
cat,fit,related,active-learn cat:strong:89
cat,desk,related,active-learn cat:strong:95
cat,trapper,whatever,active-learn cat:strong:88
cat,mink,whatever,active-learn cat:strong:86
cat,sloth,related,active-learn cat:strong:92
cat,garage,whatever,active-learn cat:strong:85
cat,fiddle,related,active-learn cat:strong:95
cat,snarl,related,active-learn cat:strong:80
cat,tickle,related,active-learn cat:strong:77
cat,grass,related,active-learn cat:strong:81
cat,gator,unrelated,active-learn cat:strong:80
cat,common,whatever,active-learn cat:strong:83
cat,street,related,active-learn cat:strong:94
cat,noodle,unrelated,active-learn cat:strong:86
cat,frisky,related,active-learn cat:strong:91
cat,feces,related,active-learn cat:strong:91
cat,molly,unrelated,active-learn cat:strong:91
cat,rule,unrelated,active-learn cat:strong:80
cat,scooter,unrelated,active-learn cat:strong:78
cat,cake,whatever,active-learn cat:strong:97
cat,nibble,related,active-learn cat:strong:85
cat,tom,related,active-learn cat:strong:88
cat,brindle,related,active-learn cat:strong:92
cat,lap,related,active-learn cat:strong:99
cat,string,related,active-learn cat:strong:80
cat,cub,unrelated,active-learn cat:strong:78
cat,healthy,related,active-learn cat:strong:95
cat,hood,related,active-learn cat:strong:81
cat,sitter,related,active-learn cat:strong:90
cat,dove,related,active-learn cat:strong:84
cat,cry,whatever,active-learn cat:strong:91
cat,neck,whatever,active-learn cat:strong:81
cat,hairy,related,active-learn cat:strong:93
cat,thoroughbred,related,active-learn cat:strong:94
cat,egg,whatever,active-learn cat:strong:85
cat,droppings,related,active-learn cat:strong:93
cat,move,whatever,active-learn cat:strong:82
cat,car,whatever,active-learn cat:strong:98
cat,pen,whatever,active-learn cat:strong:76
cat,druid,related,active-learn cat:strong:79
cat,think,whatever,active-learn cat:strong:85
cat,zoo,related,active-learn cat:strong:98
cat,daisy,whatever,active-learn cat:strong:95
cat,small,related,active-learn cat:strong:97
cat,pussyfoot,related,active-learn cat:strong:92
cat,child,related,active-learn cat:strong:80
cat,horse,related,active-learn cat:strong:97
cat,old,related,active-learn cat:strong:94
cat,love,related,active-learn cat:strong:88
cat,fiber,whatever,active-learn cat:strong:93
cat,feather,whatever,active-learn cat:strong:90
cat,get,whatever,active-learn cat:strong:99
cat,curious,related,active-learn cat:strong:98
cat,spider,whatever,active-learn cat:strong:93
cat,legs,related,active-learn cat:strong:98
cat,carrot,unrelated,active-learn cat:strong:83
cat,slinky,related,active-learn cat:strong:85
cat,ox,unrelated,active-learn cat:strong:97
cat,mite,related,active-learn cat:strong:87
cat,thunder,whatever,active-learn cat:strong:80
cat,tigers,related,active-learn cat:strong:95
cat,dish,related,active-learn cat:strong:85
cat,domestication,related,active-learn cat:strong:94
cat,tame,related,active-learn cat:strong:95
cat,lover,related,active-learn cat:strong:96
cat,figure,related,active-learn cat:strong:81
cat,sniff,related,active-learn cat:strong:98
cat,diet,related,active-learn cat:strong:85
cat,mean,related,active-learn cat:strong:93
cat,fin,unrelated,active-learn cat:strong:81
cat,eat,related,active-learn cat:strong:98
cat,cotton,unrelated,active-learn cat:strong:86
cat,cross,unrelated,active-learn cat:strong:96
cat,smart,related,active-learn cat:strong:92
cat,adorable,related,active-learn cat:strong:89
cat,ratty,related,active-learn cat:strong:90
cat,yard,related,active-learn cat:strong:88
cat,yellow,whatever,active-learn cat:strong:98
cat,trot,unrelated,active-learn cat:strong:89
cat,pit,unrelated,active-learn cat:strong:83
cat,gag,unrelated,active-learn cat:strong:82
cat,smell,related,active-learn cat:strong:75
cat,runt,related,active-learn cat:strong:82
cat,drink,related,active-learn cat:strong:97
cat,put,whatever,active-learn cat:strong:88
cat,mate,related,active-learn cat:strong:97
cat,herd,related,active-learn cat:strong:77
cat,canary,related,active-learn cat:strong:96
cat,door,related,active-learn cat:strong:79
cat,cow,related,active-learn cat:strong:95
cat,coop,whatever,active-learn cat:strong:88
cat,stallion,whatever,active-learn cat:strong:75
cat,nipper,related,active-learn cat:strong:80
cat,feed,related,active-learn cat:strong:97
cat,kipper,related,active-learn cat:strong:87
cat,macaw,whatever,active-learn cat:strong:89
cat,warm,related,active-learn cat:strong:79
cat,nail,related,active-learn cat:strong:75
cat,grizzly,unrelated,active-learn cat:strong:92
cat,goat,whatever,active-learn cat:strong:91
cat,short,unrelated,active-learn cat:strong:75
cat,basset,unrelated,active-learn cat:strong:80
cat,meme,related,active-learn cat:strong:84
cat,snoop,unrelated,active-learn cat:strong:83
cat,wonder,whatever,active-learn cat:strong:85
cat,shag,whatever,active-learn cat:strong:82
cat,guppy,related,active-learn cat:strong:76
cat,rub,related,active-learn cat:strong:81
cat,jungle,related,active-learn cat:strong:94
cat,mouth,related,active-learn cat:strong:94
cat,slobber,related,active-learn cat:strong:83
cat,read,unrelated,active-learn cat:strong:93
cat,spike,unrelated,active-learn cat:strong:87
cat,fawn,unrelated,active-learn cat:strong:96
cat,guy,related,active-learn cat:strong:80
cat,sparky,unrelated,active-learn cat:strong:84
cat,pig,unrelated,active-learn cat:strong:99
cat,piggy,unrelated,active-learn cat:strong:81
cat,herder,related,active-learn cat:border:51
cat,diaper,related,active-learn cat:border:44
cat,pagan,related,active-learn cat:border:46
cat,butters,related,active-learn cat:border:40
cat,whistle,related,active-learn cat:border:58
cat,tripod,related,active-learn cat:border:41
cat,confine,whatever,active-learn cat:border:59
cat,retaining,unrelated,active-learn cat:border:40
cat,slang,unrelated,active-learn cat:border:56
cat,clinging,related,active-learn cat:border:40
cat,chest,whatever,active-learn cat:border:54
cat,soul,whatever,active-learn cat:border:56
cat,stoop,whatever,active-learn cat:border:45
cat,hypnotic,related,active-learn cat:border:46
cat,scare,related,active-learn cat:border:43
cat,coherent,unrelated,active-learn cat:border:42
cat,strangle,whatever,active-learn cat:border:54
cat,tatty,unrelated,active-learn cat:border:44
cat,style,whatever,active-learn cat:border:53
cat,cocoon,unrelated,active-learn cat:border:44
cat,assisting,unrelated,active-learn cat:border:40
cat,rage,unrelated,active-learn cat:border:41
cat,ornithology,unrelated,active-learn cat:border:53
cat,stole,unrelated,active-learn cat:border:50
cat,ecclesiastical,unrelated,active-learn cat:border:51
cat,simple,unrelated,active-learn cat:border:49
cat,mime,unrelated,active-learn cat:border:44
cat,meditation,whatever,active-learn cat:border:42
cat,outdoors,related,active-learn cat:border:50
cat,spell,whatever,active-learn cat:border:51
cat,cosset,whatever,active-learn cat:border:57
cat,lisp,whatever,active-learn cat:border:48
cat,defecation,related,active-learn cat:border:57
cat,perishing,whatever,active-learn cat:border:40
cat,taxonomic,whatever,active-learn cat:border:47
cat,chewy,unrelated,active-learn cat:border:51
cat,tube,related,active-learn cat:border:60
cat,pudding,unrelated,active-learn cat:border:53
cat,shrub,related,active-learn cat:border:60
cat,harassing,whatever,active-learn cat:border:40
cat,snowy,whatever,active-learn cat:border:54
cat,contentment,related,active-learn cat:border:47
cat,detector,unrelated,active-learn cat:border:45
cat,disposing,unrelated,active-learn cat:border:40
cat,proper,unrelated,active-learn cat:border:51
cat,smear,unrelated,active-learn cat:border:49
cat,cluck,unrelated,active-learn cat:border:48
cat,ranch,related,active-learn cat:border:40
cat,colorectal,related,active-learn cat:border:47
cat,laundry,whatever,active-learn cat:border:55
cat,entire,unrelated,active-learn cat:border:51
cat,clue,unrelated,active-learn cat:border:43
cat,locket,whatever,active-learn cat:border:40
cat,pate,unrelated,active-learn cat:border:42
cat,slapping,unrelated,active-learn cat:border:40
cat,loss,related,active-learn cat:border:51
cat,invited,unrelated,active-learn cat:border:40
cat,crush,whatever,active-learn cat:border:45
cat,sprite,unrelated,active-learn cat:border:50
cat,prancing,related,active-learn cat:border:40
cat,spangling,unrelated,active-learn cat:border:40
cat,chuff,unrelated,active-learn cat:border:50
cat,excretion,related,active-learn cat:border:48
cat,humorist,whatever,active-learn cat:border:42
cat,bridging,unrelated,active-learn cat:border:40
cat,commie,unrelated,active-learn cat:border:41
cat,ocular,related,active-learn cat:border:45
cat,part,unrelated,active-learn cat:border:54
cat,manners,unrelated,active-learn cat:border:40
cat,cutter,unrelated,active-learn cat:border:48
cat,squall,unrelated,active-learn cat:border:46
cat,eyebrow,related,active-learn cat:border:45
cat,cheep,unrelated,active-learn cat:border:53
cat,worldwide,unrelated,active-learn cat:border:44
cat,carton,unrelated,active-learn cat:border:47
cat,slumber,related,active-learn cat:border:58
cat,warren,unrelated,active-learn cat:border:42
cat,mess,related,active-learn cat:border:53
cat,abutting,unrelated,active-learn cat:border:40
cat,attribute,unrelated,active-learn cat:border:52
cat,snicker,unrelated,active-learn cat:border:42
cat,disposition,unrelated,active-learn cat:border:52
cat,asian,whatever,active-learn cat:border:54
cat,elder,whatever,active-learn cat:border:58
cat,geranium,related,active-learn cat:border:45
cat,zoologist,related,active-learn cat:border:45
cat,member,unrelated,active-learn cat:border:56
cat,rook,related,active-learn cat:border:57
cat,shorty,unrelated,active-learn cat:border:43
cat,dress,related,active-learn cat:border:51
cat,harry,unrelated,active-learn cat:border:43
cat,slimming,whatever,active-learn cat:border:40
cat,wise,whatever,active-learn cat:border:40
cat,knit,related,active-learn cat:border:51
cat,possessor,whatever,active-learn cat:border:51
cat,salmon,related,active-learn cat:border:50
cat,right,unrelated,active-learn cat:border:51
cat,dominant,whatever,active-learn cat:border:53
cat,renter,related,active-learn cat:border:44
cat,stage,unrelated,active-learn cat:border:56
cat,rest,related,active-learn cat:border:45
cat,gobble,whatever,active-learn cat:border:59
cat,grizzle,unrelated,active-learn cat:border:42
cat,trim,related,active-learn cat:border:42
cat,kindness,related,active-learn cat:border:53
cat,blizzard,unrelated,active-learn cat:border:50
cat,ration,whatever,active-learn cat:border:55
cat,joint,whatever,active-learn cat:border:47
cat,us,unrelated,active-learn cat:border:55
cat,laughter,whatever,active-learn cat:border:42
cat,file,related,active-learn cat:border:60
cat,maxi,unrelated,active-learn cat:border:49
cat,collard,whatever,active-learn cat:border:41
cat,mute,whatever,active-learn cat:border:46
cat,linking,unrelated,active-learn cat:border:40
cat,winner,whatever,active-learn cat:border:48
cat,muffle,unrelated,active-learn cat:border:42
cat,flounder,whatever,active-learn cat:border:49
cat,veggie,whatever,active-learn cat:border:45
cat,befriend,related,active-learn cat:border:43
cat,claim,unrelated,active-learn cat:border:52
cat,growler,related,active-learn cat:border:51
cat,vent,unrelated,active-learn cat:border:52
cat,champ,unrelated,active-learn cat:border:52
cat,occurring,unrelated,active-learn cat:border:40
cat,ecclesiastic,unrelated,active-learn cat:border:44
cat,nightie,whatever,active-learn cat:border:42
cat,dickens,unrelated,active-learn cat:border:53
cat,maple,unrelated,active-learn cat:border:45
cat,hisses,related,active-learn cat:border:40
cat,flaunting,unrelated,active-learn cat:border:40
cat,field,whatever,active-learn cat:border:41
cat,trenching,unrelated,active-learn cat:border:40
cat,unsex,unrelated,active-learn cat:border:45
cat,weed,unrelated,active-learn cat:border:53
cat,fetish,related,active-learn cat:border:59
cat,smoke,unrelated,active-learn cat:border:45
cat,packet,unrelated,active-learn cat:border:56
cat,hyena,whatever,active-learn cat:border:55
cat,seducing,unrelated,active-learn cat:border:40
cat,saddening,unrelated,active-learn cat:border:40
cat,drum,unrelated,active-learn cat:border:47
cat,cathartic,unrelated,active-learn cat:border:43
cat,gazelle,unrelated,active-learn cat:border:56
cat,rocker,unrelated,active-learn cat:border:43
